"fiber","carb","total_fat","gender","age","education","income"
45.198,426.591,108.469,"Male",67,"illiterate_elementary","III"
9.218,204.215,68.256,"Male",69,"illiterate_elementary","I"
22.095,244.727,33.997,"Male",73,"high_university","IV"
27.306,202.197,51.641,"Female",80,"illiterate_elementary","I"
37.977,444.494,107.19,"Male",73,"illiterate_elementary","I"
23.555,260.529,49.267,"Male",63,"illiterate_elementary","I"
38.002,344.452,45.533,"Male",76,"illiterate_elementary","I"
18.143,208.323,61.991,"Male",73,"illiterate_elementary","I"
14.311,152.544,20.529,"Female",65,"illiterate_elementary","I"
7.587,169.727,52.73,"Male",69,"illiterate_elementary","I"
2.546,81.677,26.418,"Female",80,"illiterate_elementary","IV"
73.259,379.43,133.753,"Male",80,"illiterate_elementary","I"
13.69,326.944,110.114,"Male",70,"illiterate_elementary","III"
22.46,310.809,125.62,"Female",69,"illiterate_elementary","I"
23.465,244.886,56.818,"Male",83,"illiterate_elementary","II"
9.942,166.877,75.053,"Female",69,"illiterate_elementary","I"
17.312,195.368,25.99,"Female",73,"illiterate_elementary","I"
14.355,167.418,42.919,"Female",71,"illiterate_elementary","III"
10.915,154.281,55.597,"Male",73,"high_university","IV"
40.797,284.545,50.072,"Male",76,"high_university","IV"
9.574,159.731,39.608,"Female",77,"illiterate_elementary","I"
22.869,424.657,125.367,"Male",87,"high_university","III"
24.484,162.307,20.196,"Female",82,"illiterate_elementary","I"
10.045,188.86,96.443,"Female",71,"illiterate_elementary","I"
28.469,361.582,87.486,"Female",71,"illiterate_elementary","I"
15.578,187.834,56.225,"Male",70,"high_university","II"
22.105,252.743,55.78,"Female",71,"illiterate_elementary","I"
28.846,307.319,94.74,"Female",74,"high_university","II"
11.36,264.227,81.236,"Male",77,"illiterate_elementary","II"
20.769,254.566,42.06,"Female",66,"high_university","I"
11.202,133.901,19.985,"Female",78,"illiterate_elementary","I"
19.296,265.194,68.335,"Female",64,"illiterate_elementary","I"
42.834,316.487,77.763,"Female",72,"illiterate_elementary","I"
11.334,158.02,50.853,"Female",68,"illiterate_elementary","I"
27.625,527.794,95.259,"Male",66,"illiterate_elementary","I"
15.463,273.259,100.998,"Female",72,"illiterate_elementary","I"
5.241,166.586,50.02,"Female",63,"illiterate_elementary","I"
23.034,188.071,39.841,"Male",76,"illiterate_elementary","III"
25.831,251.774,115.404,"Female",70,"illiterate_elementary","I"
8.59,135.751,79.132,"Female",89,"illiterate_elementary","I"
20.929,214.798,100.989,"Female",62,"illiterate_elementary","I"
18.771,227.99,79.804,"Male",68,"illiterate_elementary","I"
7.138,186.86,44.861,"Female",66,"illiterate_elementary","I"
7.874,82.573,32.898,"Male",79,"illiterate_elementary","I"
16.564,461.133,155.578,"Female",75,"illiterate_elementary","I"
23.797,315.265,59.534,"Female",73,"illiterate_elementary","I"
26.203,126.943,51.751,"Female",60,"high_university","I"
10.883,115.243,22.474,"Female",76,"illiterate_elementary","I"
8.285,186.674,125.754,"Female",72,"illiterate_elementary","I"
12.409,219.721,52.359,"Male",73,"illiterate_elementary","I"
20.823,204.478,58.643,"Male",78,"high_university","IV"
9.472,72.231,31.805,"Female",71,"high_university","II"
14.738,142.381,18.033,"Female",83,"illiterate_elementary","I"
9.463,241.14,85.835,"Female",72,"illiterate_elementary","IV"
12.22,123.054,34.745,"Female",80,"illiterate_elementary","I"
24.82,308.487,133.35,"Female",89,"high_university","I"
14.589,377.929,95.217,"Male",81,"illiterate_elementary","I"
20.613,364.546,78.015,"Female",87,"illiterate_elementary","II"
9.58,237.776,54.002,"Female",80,"high_university","III"
12.64,234.272,45.227,"Female",78,"illiterate_elementary","I"
17.646,271.182,51.944,"Female",68,"illiterate_elementary","I"
8.977,224.002,32.193,"Male",79,"illiterate_elementary","I"
16.816,193.634,60.351,"Female",74,"illiterate_elementary","I"
30.189,283.443,44.62,"Male",84,"illiterate_elementary","I"
45.582,249.224,55.704,"Male",76,"high_university","III"
11.31,412.731,104.484,"Female",78,"illiterate_elementary","I"
23.01,188.701,40.981,"Female",80,"illiterate_elementary","I"
32.305,359.51,48.383,"Female",77,"high_university","I"
16.151,196.207,45.81,"Female",73,"illiterate_elementary","I"
17.544,248.965,44.445,"Male",77,"illiterate_elementary","I"
15.463,186.729,46.606,"Female",70,"illiterate_elementary","I"
4.656,105.861,43.896,"Female",91,"illiterate_elementary","I"
27.108,186.014,49.77,"Male",74,"illiterate_elementary","I"
11.65,137.03,17.377,"Male",71,"illiterate_elementary","I"
3.033,63.099,22.525,"Male",70,"illiterate_elementary","I"
18.83,221.445,59.246,"Male",73,"illiterate_elementary","II"
6.562,98.347,50.507,"Male",69,"illiterate_elementary","I"
13.863,207.353,65.58,"Female",72,"illiterate_elementary","I"
12.18,179.12,50.793,"Female",83,"illiterate_elementary","I"
22.452,118.266,38.691,"Female",75,"high_university","II"
13.205,349.206,39.743,"Female",85,"illiterate_elementary","I"
18.848,298.435,55.614,"Female",67,"high_university","I"
26.138,353.655,50.726,"Female",87,"illiterate_elementary","I"
11.549,240.588,98.828,"Female",86,"high_university","II"
20.637,280.528,112.093,"Female",90,"high_university","II"
25.816,352.915,30.092,"Male",74,"high_university","IV"
29.839,260.586,26.189,"Female",68,"illiterate_elementary","I"
16.201,300.325,80.592,"Female",65,"illiterate_elementary","I"
14.262,190.724,48.645,"Female",74,"illiterate_elementary","I"
11.45,197.524,44.141,"Female",77,"illiterate_elementary","I"
18.21,163.027,61.868,"Female",68,"high_university","II"
12.917,158.755,44.729,"Female",80,"illiterate_elementary","I"
8.978,143.683,21.339,"Female",70,"illiterate_elementary","III"
33.939,427.076,30.998,"Male",69,"illiterate_elementary","I"
15.452,273.584,222.366,"Male",74,"illiterate_elementary","I"
35.315,365.294,93.172,"Male",67,"high_university","I"
3.562,91.626,24.523,"Male",78,"illiterate_elementary","I"
28.194,392.213,121.892,"Male",82,"high_university","II"
